"Time","value","curve"
18,58.9,"2.5% quantile"
19,63,"2.5% quantile"
20,63.125,"2.5% quantile"
21,67.275,"2.5% quantile"
22,74.575,"2.5% quantile"
23,72.475,"2.5% quantile"
24,75.35,"2.5% quantile"
25,72.375,"2.5% quantile"
26,79.6,"2.5% quantile"
27,77.825,"2.5% quantile"
28,86.675,"2.5% quantile"
29,94.675,"2.5% quantile"
30,102.225,"2.5% quantile"
31,104.225,"2.5% quantile"
32,99.025,"2.5% quantile"
33,98.925,"2.5% quantile"
34,105.125,"2.5% quantile"
35,102.025,"2.5% quantile"
36,104.45,"2.5% quantile"
37,92.925,"2.5% quantile"
38,95.25,"2.5% quantile"
39,97.35,"2.5% quantile"
40,93.025,"2.5% quantile"
41,91.25,"2.5% quantile"
42,87.125,"2.5% quantile"
43,86.675,"2.5% quantile"
44,85.025,"2.5% quantile"
45,81.9,"2.5% quantile"
46,71.05,"2.5% quantile"
47,65.6,"2.5% quantile"
48,66.25,"2.5% quantile"
49,61.675,"2.5% quantile"
50,61.9,"2.5% quantile"
51,57.9,"2.5% quantile"
52,57.25,"2.5% quantile"
53,58.225,"2.5% quantile"
54,52.45,"2.5% quantile"
55,54.675,"2.5% quantile"
56,46.45,"2.5% quantile"
57,40.9,"2.5% quantile"
58,39,"2.5% quantile"
59,37.45,"2.5% quantile"
60,35.8,"2.5% quantile"
61,33.475,"2.5% quantile"
62,24.575,"2.5% quantile"
63,19.9,"2.5% quantile"
64,17.125,"2.5% quantile"
65,15.225,"2.5% quantile"
66,18.225,"2.5% quantile"
67,17.225,"2.5% quantile"
68,16.9,"2.5% quantile"
69,16.9,"2.5% quantile"
70,12.675,"2.5% quantile"
71,12.575,"2.5% quantile"
72,12.125,"2.5% quantile"
73,12,"2.5% quantile"
74,9.225,"2.5% quantile"
75,10,"2.5% quantile"
76,7.675,"2.5% quantile"
77,7.45,"2.5% quantile"
78,5.675,"2.5% quantile"
79,3.9,"2.5% quantile"
80,2.125,"2.5% quantile"
81,2.125,"2.5% quantile"
82,2.9,"2.5% quantile"
83,2.9,"2.5% quantile"
84,3.225,"2.5% quantile"
85,3.45,"2.5% quantile"
86,3.225,"2.5% quantile"
87,4,"2.5% quantile"
88,2,"2.5% quantile"
89,2.225,"2.5% quantile"
90,2.225,"2.5% quantile"
91,1,"2.5% quantile"
92,2,"2.5% quantile"
93,0.225,"2.5% quantile"
94,0.225,"2.5% quantile"
95,0.225,"2.5% quantile"
96,0.225,"2.5% quantile"
97,0,"2.5% quantile"
98,0.225,"2.5% quantile"
99,0,"2.5% quantile"
100,0,"2.5% quantile"
101,0,"2.5% quantile"
102,0,"2.5% quantile"
103,0,"2.5% quantile"
104,0,"2.5% quantile"
105,0,"2.5% quantile"
106,0,"2.5% quantile"
107,0,"2.5% quantile"
108,0,"2.5% quantile"
109,0,"2.5% quantile"
110,0,"2.5% quantile"
111,0,"2.5% quantile"
112,0,"2.5% quantile"
113,0,"2.5% quantile"
114,0,"2.5% quantile"
115,0,"2.5% quantile"
116,0,"2.5% quantile"
117,0,"2.5% quantile"
118,0,"2.5% quantile"
119,0,"2.5% quantile"
120,0,"2.5% quantile"
121,0,"2.5% quantile"
122,0,"2.5% quantile"
123,0,"2.5% quantile"
124,0,"2.5% quantile"
125,0,"2.5% quantile"
126,0,"2.5% quantile"
127,0,"2.5% quantile"
128,0,"2.5% quantile"
129,0,"2.5% quantile"
130,0,"2.5% quantile"
131,0,"2.5% quantile"
132,0,"2.5% quantile"
133,0,"2.5% quantile"
134,0,"2.5% quantile"
135,0,"2.5% quantile"
136,0,"2.5% quantile"
137,0,"2.5% quantile"
138,0,"2.5% quantile"
139,0,"2.5% quantile"
140,0,"2.5% quantile"
141,0,"2.5% quantile"
142,0,"2.5% quantile"
143,0,"2.5% quantile"
144,0,"2.5% quantile"
145,0,"2.5% quantile"
146,0,"2.5% quantile"
147,0,"2.5% quantile"
148,0,"2.5% quantile"
149,0,"2.5% quantile"
150,0,"2.5% quantile"
151,0,"2.5% quantile"
152,0,"2.5% quantile"
153,0,"2.5% quantile"
154,0,"2.5% quantile"
155,0,"2.5% quantile"
156,0,"2.5% quantile"
157,0,"2.5% quantile"
158,0,"2.5% quantile"
